who_are_you,looking_for,relationship_type,self_description,preference,music_preference,relationship_values,deal_breakers
straight_female,straight_female,Something Casual,Introvert,Morning Person,Classical,"Mutual respect, Emotional support, Shared interests, Communication, Independence, Trust and honesty",Political views
transgender,straight_male,Something Serious,Introvert,Morning Person,Classical,"Shared interests, Emotional support, Communication, Trust and honesty",Religious views
straight_male,straight_female,Something Serious,Extrovert,Morning Person,Hollywood Rizz Songs,"Communication, Mutual respect, Trust and honesty",Smoking
straight_male,straight_male,Something Serious,Extrovert,Night Owl,Romantic Bollywood,"Communication, Independence, Emotional support, Trust and honesty",Political views
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,Shared interests,Religious views
straight_male,straight_female,Something Casual,Introvert,Morning Person,Pop,"Emotional support, Independence, Communication, Trust and honesty",Political views
straight_male,straight_female,Something Serious,Introvert,Night Owl,Pop,"Communication, Mutual respect, Independence, Emotional support",Drinking
straight_male,straight_female,Something Serious,Somewhere in Between,Morning Person,Romantic Bollywood,"Independence, Shared interests, Emotional support, Trust and honesty, Mutual respect, Communication",Religious views
straight_male,straight_male,Something Casual,Extrovert,Night Owl,Pop,"Independence, Shared interests, Emotional support, Communication, Mutual respect",Religious views
straight_male,straight_female,Something Serious,Extrovert,Night Owl,Hollywood Rizz Songs,"Communication, Trust and honesty, Mutual respect, Emotional support, Shared interests, Independence",Political views
straight_male,straight_female,Something Serious,Introvert,Night Owl,Pop,"Independence, Communication, Emotional support",Drinking
straight_male,straight_female,Something Serious,Somewhere in Between,Morning Person,Romantic Bollywood,"Communication, Mutual respect, Shared interests",Drinking
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Country,"Shared interests, Mutual respect, Emotional support, Independence, Communication, Trust and honesty",Drinking
straight_male,straight_male,Something Casual,Introvert,Night Owl,Romantic Bollywood,Shared interests,Smoking
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Pop,"Emotional support, Shared interests, Communication, Independence, Mutual respect",Drinking
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Country,"Shared interests, Trust and honesty",Drinking
straight_female,straight_female,Something Casual,Somewhere in Between,Night Owl,Classical,"Independence, Communication, Trust and honesty, Mutual respect",Smoking
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Country,"Trust and honesty, Independence, Mutual respect, Emotional support, Shared interests",Political views
straight_female,straight_female,Something Casual,Extrovert,Night Owl,Classical,"Communication, Emotional support",Smoking
straight_female,straight_female,Something Serious,Extrovert,Night Owl,Hollywood Rizz Songs,"Mutual respect, Shared interests, Independence, Communication, Trust and honesty",Religious views
straight_female,straight_male,Something Serious,Somewhere in Between,Night Owl,Hollywood Rizz Songs,Independence,Smoking
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Emotional support, Trust and honesty",Religious views
queer,straight_female,Something Serious,Extrovert,Night Owl,Rock,"Trust and honesty, Independence, Mutual respect",Political views
straight_female,straight_male,Something Serious,Extrovert,Morning Person,Hollywood Rizz Songs,"Communication, Mutual respect",Political views
straight_female,straight_male,Something Casual,Somewhere in Between,Morning Person,Hollywood Rizz Songs,"Mutual respect, Shared interests",Religious views
straight_male,straight_male,Something Serious,Extrovert,Morning Person,Hollywood Rizz Songs,"Communication, Shared interests, Independence, Mutual respect, Trust and honesty",Religious views
transgender,straight_female,Something Serious,Extrovert,Night Owl,Rock,"Independence, Shared interests, Trust and honesty, Communication, Mutual respect, Emotional support",Political views
bisexual,straight_female,Something Serious,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Shared interests, Independence, Mutual respect, Trust and honesty, Communication, Emotional support",Political views
straight_male,straight_male,Something Serious,Extrovert,Night Owl,Pop,"Emotional support, Trust and honesty, Shared interests, Mutual respect",Religious views
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,"Trust and honesty, Emotional support, Independence",Religious views
straight_female,straight_female,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,Communication,Drinking
straight_male,straight_female,Something Serious,Extrovert,Night Owl,Rock,"Shared interests, Trust and honesty",Religious views
straight_female,straight_female,Something Serious,Extrovert,Morning Person,Romantic Bollywood,Emotional support,Religious views
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Country,"Mutual respect, Independence, Emotional support, Communication",Smoking
straight_female,straight_female,Something Serious,Somewhere in Between,Morning Person,Romantic Bollywood,"Trust and honesty, Mutual respect, Communication, Emotional support",Smoking
straight_female,straight_female,Something Casual,Somewhere in Between,Night Owl,Rock,"Shared interests, Communication, Independence, Emotional support, Trust and honesty",Political views
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Communication, Independence",Political views
straight_male,straight_male,Something Casual,Extrovert,Morning Person,Hollywood Rizz Songs,"Emotional support, Shared interests, Independence",Religious views
straight_male,straight_male,Something Casual,Somewhere in Between,Morning Person,Country,"Mutual respect, Shared interests, Communication",Smoking
straight_male,straight_female,Something Serious,Extrovert,Night Owl,Country,"Emotional support, Communication, Trust and honesty, Mutual respect, Independence, Shared interests",Drinking
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Rock,Emotional support,Religious views
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Shared interests, Independence, Communication, Emotional support",Political views
straight_female,straight_female,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,"Shared interests, Emotional support, Trust and honesty, Mutual respect",Drinking
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Shared interests, Communication, Mutual respect, Emotional support",Religious views
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Pop,"Communication, Emotional support, Trust and honesty, Independence",Drinking
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Country,"Emotional support, Mutual respect, Trust and honesty, Shared interests, Communication",Political views
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Classical,"Emotional support, Independence, Trust and honesty, Communication, Mutual respect",Smoking
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Pop,"Communication, Mutual respect",Religious views
straight_female,straight_female,Something Serious,Extrovert,Night Owl,Country,"Independence, Communication, Mutual respect, Trust and honesty, Shared interests",Religious views
straight_female,straight_male,Something Serious,Somewhere in Between,Night Owl,Pop,Shared interests,Drinking
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Pop,Shared interests,Political views
bisexual,gay,Something Serious,Introvert,Night Owl,Rock,Mutual respect,Religious views
straight_male,straight_female,Something Serious,Extrovert,Night Owl,Country,"Independence, Emotional support, Mutual respect, Shared interests, Communication",Smoking
straight_female,queer,Something Serious,Somewhere in Between,Morning Person,Hollywood Rizz Songs,"Communication, Mutual respect, Independence, Shared interests, Trust and honesty, Emotional support",Drinking
